"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"450","Think @AmericanAir is a top-notch carrier? Experience the mismanaged quagmire of the LAX ""regional terminal"" and you may reconsider.",FALSE,0,NA,2017-10-07 23:04:56,FALSE,NA,"916801544732925952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","birdgoo",0,FALSE,FALSE,NA,NA
"451","@AmericanAir Two hours late from my original arrival time. Gotta love it!",FALSE,0,"_exmills",2017-10-07 23:03:53,FALSE,"916776073395933185","916801283448868869","236700241","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_exmills",0,FALSE,FALSE,NA,NA
"452","@AmericanAir Fort Worth is cow town and noone is changing that.",FALSE,0,"AmericanAir",2017-10-07 23:03:05,FALSE,"916423569000742912","916801082201923584","22536055","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","theonlysuebee",0,FALSE,FALSE,NA,NA
"453","#BrightAngelCanyon to #NorthRim @GrandCanyonNPS! @NatlParksArts @GoParks @AmericanAir #AmericanView @ArizonaTourism… https://t.co/TXoQaMInSE",FALSE,1,NA,2017-10-07 23:02:20,TRUE,NA,"916800889687379968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","griz1",0,FALSE,FALSE,NA,NA
"454","@AirlineReporter @AmericanAir Any pictures of first class?",FALSE,0,"AirlineReporter",2017-10-07 23:01:29,FALSE,"916795131365412869","916800675916468225","40113236","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","jmmccarthy2002",0,FALSE,FALSE,NA,NA
"455","RT @AnnaTaughtYou: HELP ME PLEASE DM ME I NEED YOU MORE THAN EVER @AmericanAir",FALSE,0,NA,2017-10-07 23:01:21,FALSE,NA,"916800642445971456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","toyama_toyama",11,TRUE,FALSE,NA,NA
"456","@user47 @chippy194 @AirlineReporter @AmericanAir If US air travel were actually a competitive market, I might feel… https://t.co/GMMwqNghok",FALSE,0,"nbfowler",2017-10-07 23:01:06,TRUE,"916800154061094912","916800579866828800","19667694","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nbfowler",0,FALSE,FALSE,NA,NA
"457","RT @AirlineReporter: Some are bummed the @AmericanAir 737s are going w/ BYOD IFE. We aren’t. It’s the future. Note tablet/phone holder in s…",FALSE,0,NA,2017-10-07 22:59:56,FALSE,NA,"916800285376262146",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShorealoneFilms",15,TRUE,FALSE,NA,NA
"458","@AmericanAir I wish I had more time to explore all the amenities. You’ve got SHOWERS up there???!!!! Seriously cool.",FALSE,0,"AmericanAir",2017-10-07 22:59:55,FALSE,"916795049429602309","916800282385965056","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adryenn",134,FALSE,FALSE,NA,NA
"459","@AmericanAir Already called EP desk and got it refunded. It's not the same product, and should not be priced as suc… https://t.co/togf7nSELN",FALSE,0,"AmericanAir",2017-10-07 22:59:51,TRUE,"916774053381312512","916800265264623617","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BoltAU",0,FALSE,FALSE,NA,NA
"460","@AmericanAir You are our hero”  Thank you video from PR family received life saving generator for dialysis https://t.co/ZFuHaVViFC #aateam",FALSE,0,"AmericanAir",2017-10-07 22:59:27,FALSE,NA,"916800167160008707","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mo_nica77",0,FALSE,FALSE,NA,NA
"461","@user47 @AirlineReporter @AmericanAir @ViaSatInc @Gogo I'm pretty sure a lot of the media is served from a local ca… https://t.co/j7zV5N4mmW",FALSE,1,"user47",2017-10-07 22:59:26,TRUE,"916799688619253760","916800161178902528","15906000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tehreedy",0,FALSE,FALSE,NA,NA
"462","@user47 @chippy194 @AirlineReporter @AmericanAir That's generally not how large corporations work. They shave off o… https://t.co/qGygNKauAt",FALSE,0,"nbfowler",2017-10-07 22:59:24,TRUE,"916799218005639173","916800154061094912","19667694","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nbfowler",0,FALSE,FALSE,NA,NA
"463","@nbfowler @user47 @chippy194 @AirlineReporter @AmericanAir Actually, no seat IFE saves weight, which in-turn saves… https://t.co/RG87M9U0Ha",FALSE,2,"nbfowler",2017-10-07 22:59:08,TRUE,"916799218005639173","916800087228944385","19667694","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobotTrav",0,FALSE,FALSE,NA,NA
"464","@PhilFlying @AirlineReporter @AmericanAir And yes, we do that as a family. Got 3 such trips coming up in the next 9 months.",FALSE,0,"IndoBushPilot",2017-10-07 22:58:29,FALSE,"916799807175385088","916799924221599745","263547393","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IndoBushPilot",0,FALSE,FALSE,NA,NA
"465","@PhilFlying @AirlineReporter @AmericanAir Yeah, for short haul in a 737 that's probably fine, but I'm thinking this… https://t.co/IA8Dvzwokc",FALSE,0,"PhilFlying",2017-10-07 22:58:02,TRUE,"916799350797492224","916799807175385088","62227438","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IndoBushPilot",0,FALSE,FALSE,NA,NA
